id,subjects,teaching_style,availability,location_preference,hourly_rate,experience_years,rating,total_students,specializations,gender,languages
t0056,"chemistry,mathematics",hands_on,"weekend,afternoon,evening,morning",both,47.31,9,4.0,39,"statistics,geometry",female,"french,spanish,arabic"
t0057,"physics,biology,mathematics",interactive,"weekend,morning,evening,afternoon",in_person,51.32,19,4.8,110,"thermodynamics,statistics",non_binary,"german,english,arabic"
t0058,spanish,visual,"afternoon,evening,weekend",online,54.03,18,4.4,85,spanish,male,"english,arabic"
t0059,"physics,chemistry,geography",hands_on,"evening,afternoon",online,48.63,16,4.4,79,thermodynamics,male,"mandarin,french"
t0060,"spanish,mathematics,geography",structured,"evening,weekend,morning,afternoon",online,39.37,10,4.0,39,"geometry,statistics",female,"english,spanish,french"
t0061,literature,discussion,"afternoon,weekend,morning,evening",both,57.11,20,4.6,107,literature,non_binary,"arabic,english"
t0062,economics,discussion,"afternoon,morning",both,37.37,13,4.1,56,economics,non_binary,"french,arabic,mandarin"
t0063,"chemistry,music",visual,"evening,weekend,morning",online,49.87,18,4.8,96,chemistry,female,arabic
t0064,"spanish,economics",visual,"morning,weekend,evening",online,31.48,4,3.8,19,spanish,male,"german,spanish,english"
t0065,"economics,history,french",discussion,"weekend,evening,morning",online,27.94,4,4.0,19,economics,non_binary,"english,spanish,french"
t0066,"literature,french",discussion,"evening,morning,weekend,afternoon",online,49.44,14,4.1,58,literature,female,"spanish,arabic,french"
t0067,"economics,spanish",hands_on,"morning,afternoon",in_person,30.63,3,3.7,12,economics,female,"arabic,spanish"
t0068,"music,biology",visual,"weekend,morning,afternoon",in_person,45.89,14,4.3,63,music,non_binary,"mandarin,english"
t0069,"music,history",visual,"morning,afternoon",online,34.43,4,3.7,31,music,female,"french,english"
t0070,"geography,biology",interactive,"evening,morning,weekend,afternoon",in_person,30.92,4,3.6,19,geography,non_binary,"german,spanish"
t0071,"physics,economics",interactive,"evening,weekend,morning,afternoon",online,61.56,20,4.7,113,"mechanics,thermodynamics",female,"french,german,spanish"
t0072,"music,physics",hands_on,"weekend,evening,morning,afternoon",online,38.29,8,3.8,34,"thermodynamics,quantum_physics",male,"english,german"
t0073,"mathematics,biology,philosophy",discussion,"morning,evening,weekend,afternoon",online,28.34,1,3.5,19,statistics,non_binary,"english,german,spanish"
t0074,"spanish,art",structured,"morning,evening,weekend,afternoon",in_person,34.0,3,3.7,22,spanish,male,"spanish,mandarin,arabic"
t0075,"spanish,art,literature",hands_on,"afternoon,morning",online,37.59,10,4.3,51,spanish,non_binary,"german,spanish,mandarin"
t0076,computer_science,interactive,"afternoon,weekend",in_person,31.43,4,3.5,28,computer_science,male,"english,mandarin,french"
t0077,spanish,structured,"weekend,afternoon",online,29.2,2,3.5,20,spanish,female,"english,spanish,german"
t0078,philosophy,hands_on,"morning,weekend,afternoon",both,47.87,16,4.3,84,philosophy,female,"arabic,english"
t0079,french,interactive,"morning,afternoon,weekend",online,17.02,1,3.3,8,french,non_binary,"german,english,mandarin"
t0080,chemistry,interactive,"evening,morning,afternoon",online,47.44,15,4.5,75,chemistry,male,"spanish,arabic,french"
t0081,"spanish,philosophy,history",discussion,"morning,weekend",in_person,33.04,5,3.9,19,spanish,non_binary,"english,mandarin,spanish"
t0082,"french,art,music",structured,"morning,weekend,evening,afternoon",online,56.53,19,4.9,109,french,female,spanish
t0083,french,visual,"afternoon,evening",both,25.31,5,3.7,26,french,male,"spanish,english"
t0084,geography,hands_on,"evening,morning,afternoon,weekend",online,46.38,20,4.9,108,geography,non_binary,"english,spanish,french"
t0085,"physics,french",visual,"evening,weekend,morning,afternoon",online,49.4,16,4.4,77,mechanics,non_binary,arabic
t0086,"chemistry,english",discussion,"evening,morning,weekend",online,55.42,18,4.7,102,literature,female,arabic
t0087,literature,hands_on,"weekend,evening",in_person,43.14,15,4.2,83,literature,female,"spanish,english,french"
t0088,economics,structured,"afternoon,evening,weekend",online,28.96,5,3.9,33,economics,non_binary,english
t0089,french,interactive,"evening,morning",both,24.15,6,3.7,38,french,male,german
t0090,"english,chemistry,biology",discussion,"weekend,evening,morning,afternoon",online,17.16,1,3.8,6,"literature,grammar",non_binary,"german,spanish"
t0091,"art,biology",interactive,"weekend,evening",online,32.79,6,3.8,40,art,female,english
t0092,"economics,music,french",structured,"evening,weekend,morning,afternoon",both,38.41,6,3.7,34,economics,female,"english,german"
t0093,"philosophy,geography",visual,"morning,evening,weekend,afternoon",both,30.96,6,4.1,43,philosophy,non_binary,"english,spanish,mandarin"
t0094,computer_science,visual,"afternoon,morning",in_person,48.53,15,4.6,86,computer_science,non_binary,french
t0095,"mathematics,history,english",visual,"weekend,evening,morning",online,43.78,10,4.1,55,"geometry,calculus,creative_writing",male,"german,spanish"
t0096,"english,history,geography",structured,"weekend,evening",online,48.28,13,4.4,71,"literature,grammar",female,"english,arabic,mandarin"
t0097,"english,music",discussion,"evening,afternoon,weekend",both,34.18,7,3.9,47,"grammar,creative_writing",female,"arabic,spanish"
t0098,music,visual,"weekend,morning",in_person,47.36,17,4.4,86,music,female,"french,arabic,mandarin"
t0099,"english,french",interactive,"afternoon,weekend",both,35.44,12,4.5,56,creative_writing,female,"german,english"
t0100,chemistry,structured,"morning,weekend,afternoon,evening",both,27.05,1,3.7,12,chemistry,non_binary,"arabic,mandarin,german"
t0101,computer_science,visual,"evening,morning",in_person,24.46,2,3.6,21,computer_science,non_binary,"french,arabic,german"
t0102,"economics,literature",discussion,"evening,weekend,afternoon",online,40.5,10,3.9,44,economics,female,spanish
t0103,"mathematics,physics",visual,"evening,afternoon",in_person,45.17,7,3.9,28,"statistics,calculus,mechanics",female,english
t0104,"chemistry,economics",discussion,"afternoon,weekend,morning",online,26.97,4,3.7,33,chemistry,male,"english,german"
t0105,"history,biology,computer_science",visual,"afternoon,morning",in_person,43.31,12,4.4,61,history,non_binary,english
t0106,"history,chemistry",structured,"weekend,morning,evening",in_person,32.76,6,3.7,23,history,female,"mandarin,english,arabic"
t0107,spanish,hands_on,"weekend,evening",both,20.55,1,3.8,23,spanish,non_binary,"german,arabic"
t0108,"mathematics,biology,computer_science",interactive,"evening,weekend",in_person,51.53,17,4.6,93,"statistics,algebra",non_binary,german
t0109,"geography,mathematics,spanish",visual,"morning,evening,afternoon",in_person,28.94,4,4.1,26,geometry,female,"german,french,spanish"
t0110,"mathematics,physics",visual,"weekend,evening",in_person,39.47,6,3.8,22,"geometry,quantum_physics",female,"arabic,mandarin,french"
t0111,"chemistry,biology",visual,"afternoon,evening,weekend,morning",in_person,50.62,18,4.5,84,chemistry,male,arabic
t0112,"spanish,music,physics",structured,"weekend,evening,afternoon,morning",in_person,32.9,4,3.6,34,mechanics,female,"french,mandarin"
t0113,"physics,philosophy,french",hands_on,"afternoon,morning,evening",in_person,49.67,14,4.2,78,quantum_physics,non_binary,"mandarin,english"
t0114,"music,mathematics",visual,"morning,afternoon,evening",both,29.77,6,3.9,25,calculus,male,"arabic,english"
t0115,spanish,interactive,"weekend,afternoon,evening",online,34.76,11,4.4,48,spanish,female,"arabic,german"
t0116,"economics,computer_science,literature",visual,"afternoon,evening",in_person,53.85,15,4.7,71,economics,male,"mandarin,arabic,spanish"
t0117,mathematics,visual,"afternoon,evening,morning",both,56.27,18,4.4,94,algebra,non_binary,spanish
t0118,"art,english",discussion,"morning,evening",both,36.8,9,3.9,46,grammar,male,"english,spanish,arabic"
t0119,"biology,mathematics,spanish",structured,"weekend,evening",both,49.33,11,4.2,49,algebra,female,"english,spanish"
t0120,"history,chemistry",hands_on,"evening,morning,afternoon",in_person,40.53,10,4.3,48,history,non_binary,"french,mandarin"
t0121,"french,geography",structured,"evening,weekend,morning",in_person,25.78,5,4.1,23,french,female,"english,german"
t0122,geography,visual,"morning,evening,afternoon,weekend",online,25.46,3,3.7,29,geography,male,"french,german,mandarin"
t0123,economics,hands_on,"afternoon,morning,weekend",online,45.75,12,4.2,67,economics,female,"spanish,arabic,english"
t0124,"economics,philosophy",hands_on,"weekend,morning,evening,afternoon",in_person,19.96,2,3.6,20,economics,male,"french,spanish"
t0125,"chemistry,geography,biology",visual,"afternoon,evening",in_person,41.93,16,4.3,82,chemistry,male,"german,arabic"
t0126,"mathematics,history",structured,"morning,evening",both,38.47,3,3.9,29,algebra,male,"arabic,mandarin"
t0127,"literature,physics",visual,"afternoon,morning,evening",online,43.74,6,3.8,36,"thermodynamics,mechanics",female,"arabic,german,english"
t0128,"physics,french,biology",hands_on,"morning,evening,afternoon,weekend",both,46.79,16,4.7,76,"thermodynamics,quantum_physics",male,"arabic,mandarin"
t0129,"economics,history,mathematics",hands_on,"weekend,morning,afternoon,evening",online,35.13,3,3.9,15,algebra,male,"spanish,german,english"
t0130,physics,visual,"morning,evening,weekend",in_person,47.06,16,4.4,71,"thermodynamics,mechanics",female,spanish
t0131,"computer_science,economics",hands_on,"afternoon,morning",online,44.5,9,4.2,45,computer_science,female,"german,english,spanish"
t0132,"mathematics,chemistry,literature",visual,"evening,afternoon,morning",in_person,32.79,4,3.5,14,"algebra,calculus",non_binary,"arabic,german"
t0133,"spanish,english",visual,"morning,weekend",online,42.58,9,4.2,43,"grammar,literature",female,german
t0134,biology,interactive,"morning,weekend,evening,afternoon",both,44.86,11,4.0,62,biology,female,"arabic,spanish,mandarin"
t0135,"literature,geography,economics",hands_on,"afternoon,morning",both,51.61,17,4.4,77,literature,male,arabic
t0136,"biology,music,physics",visual,"morning,afternoon,evening",in_person,45.86,8,4.2,43,mechanics,non_binary,mandarin
t0137,"english,literature,art",visual,"weekend,morning,afternoon,evening",in_person,49.9,18,4.6,102,"grammar,literature",non_binary,"french,arabic,mandarin"
t0138,"computer_science,chemistry,english",structured,"evening,morning,afternoon",in_person,41.86,5,3.8,24,literature,male,"german,arabic,mandarin"
t0139,"literature,philosophy",discussion,"weekend,evening,afternoon",in_person,42.0,14,4.5,64,literature,male,"mandarin,spanish"
t0140,"mathematics,music",hands_on,"weekend,morning,afternoon,evening",in_person,41.53,10,4.3,62,"calculus,algebra",male,"spanish,french,arabic"
t0141,"biology,economics",interactive,"weekend,afternoon,evening",both,32.2,7,4.1,37,biology,male,"mandarin,english,french"
t0142,"english,biology,french",visual,"morning,evening",both,40.44,8,4.2,36,"literature,creative_writing",female,"spanish,english"
t0143,"biology,spanish",hands_on,"weekend,evening",both,39.07,15,4.6,82,biology,non_binary,"english,mandarin,german"
t0144,"french,spanish",hands_on,"morning,evening,afternoon",online,54.3,19,4.7,95,french,male,mandarin
t0145,"chemistry,spanish",structured,"morning,evening",online,43.4,15,4.4,75,chemistry,male,mandarin
t0146,"chemistry,history",structured,"evening,morning,afternoon,weekend",in_person,38.03,6,3.8,41,chemistry,male,"french,english"
t0147,"music,chemistry,physics",interactive,"evening,morning,afternoon,weekend",online,32.12,8,4.0,39,"thermodynamics,quantum_physics",female,"french,arabic,mandarin"
t0148,"art,music,mathematics",structured,"evening,afternoon,morning,weekend",both,46.38,14,4.6,65,statistics,non_binary,"mandarin,german"
t0149,"economics,mathematics",hands_on,"afternoon,morning",online,30.25,3,4.0,15,algebra,female,"german,spanish,arabic"
t0150,biology,visual,"afternoon,evening,weekend",in_person,31.53,4,4.0,28,biology,female,french
t0151,geography,visual,"evening,weekend,afternoon,morning",online,35.32,12,4.2,64,geography,male,"mandarin,spanish,french"
t0152,computer_science,structured,"afternoon,evening",both,61.35,19,4.9,104,computer_science,female,"arabic,german"
t0153,"history,mathematics",discussion,"weekend,afternoon,morning,evening",online,46.15,11,4.0,55,"algebra,calculus",female,"english,mandarin"
t0154,english,discussion,"evening,afternoon",both,22.79,3,4.0,29,"creative_writing,literature",female,mandarin
t0155,"literature,art",interactive,"weekend,afternoon,morning,evening",in_person,32.51,8,4.3,46,literature,female,german
t0156,"literature,chemistry",structured,"afternoon,evening,morning",both,22.07,3,3.8,22,literature,female,"french,spanish"
t0157,"literature,economics",structured,"evening,afternoon,morning,weekend",online,40.66,11,4.5,59,literature,non_binary,"french,mandarin,english"
t0158,"computer_science,literature",hands_on,"evening,morning",both,23.26,2,3.9,12,computer_science,female,english
t0159,"chemistry,french",hands_on,"afternoon,morning",online,39.94,8,3.9,47,chemistry,male,"german,french"
t0160,"philosophy,computer_science,spanish",hands_on,"weekend,afternoon,morning",both,62.93,19,4.8,105,philosophy,male,"german,english,spanish"
t0161,"music,mathematics",interactive,"morning,evening,weekend",both,46.16,9,4.2,43,calculus,non_binary,arabic
t0162,art,hands_on,"morning,weekend",online,45.86,20,4.8,108,art,non_binary,"spanish,french"
t0163,computer_science,discussion,"weekend,morning,evening,afternoon",in_person,32.54,6,3.6,33,computer_science,male,"english,spanish"
t0164,"art,spanish,history",structured,"afternoon,evening",both,24.36,2,3.6,16,art,male,"english,mandarin,french"
t0165,"mathematics,music,economics",structured,"weekend,afternoon,morning",in_person,46.49,13,4.5,64,algebra,male,"english,spanish,german"
t0166,"spanish,physics",hands_on,"weekend,morning,evening",online,41.92,6,3.7,23,"thermodynamics,quantum_physics",male,english
t0167,computer_science,structured,"afternoon,weekend,morning,evening",both,42.21,7,3.7,28,computer_science,non_binary,english
t0168,"mathematics,english",structured,"morning,afternoon",both,49.35,18,4.8,104,"geometry,calculus,creative_writing",female,"mandarin,arabic"
t0169,french,structured,"afternoon,evening,weekend,morning",both,53.63,17,4.5,83,french,non_binary,"mandarin,spanish"
t0170,"computer_science,history,geography",interactive,"afternoon,morning",online,52.83,12,4.2,51,computer_science,male,"arabic,mandarin"
t0171,geography,discussion,"evening,afternoon,weekend",both,37.63,14,4.6,77,geography,non_binary,"english,mandarin,german"
t0172,art,hands_on,"afternoon,morning,evening",both,44.93,11,4.1,56,art,male,"mandarin,spanish"
t0173,art,interactive,"afternoon,weekend,morning",online,43.68,16,4.4,71,art,non_binary,english
t0174,"art,music,computer_science",discussion,"afternoon,weekend",both,59.87,19,4.7,89,art,male,spanish
t0175,physics,discussion,"evening,afternoon,morning",both,28.77,3,4.0,25,mechanics,non_binary,"mandarin,spanish,arabic"
t0176,art,visual,"weekend,morning,afternoon,evening",both,52.8,20,4.8,104,art,non_binary,"german,french"
t0177,biology,interactive,"weekend,evening,morning",online,31.42,1,3.5,7,biology,male,"french,arabic,spanish"
t0178,"computer_science,history",hands_on,"afternoon,evening,weekend,morning",both,33.99,4,3.5,17,computer_science,male,"french,mandarin"
t0179,"mathematics,physics",visual,"afternoon,morning,weekend",in_person,39.33,5,3.6,19,"calculus,quantum_physics,thermodynamics",non_binary,"mandarin,spanish"
t0180,"biology,music,spanish",interactive,"evening,afternoon,morning",in_person,38.07,8,3.9,32,biology,female,"spanish,french,english"
t0181,"computer_science,history,french",visual,"afternoon,weekend,morning,evening",online,43.11,10,4.3,52,computer_science,non_binary,"french,mandarin,spanish"
t0182,"physics,spanish,art",interactive,"afternoon,weekend",both,21.99,1,3.8,21,quantum_physics,female,"arabic,french"
t0183,spanish,structured,"morning,weekend,afternoon",both,30.08,2,3.9,10,spanish,male,french
t0184,"history,chemistry",discussion,"weekend,afternoon",online,32.25,3,3.8,24,history,male,mandarin
t0185,literature,discussion,"morning,weekend,evening",online,40.23,7,3.7,39,literature,non_binary,"arabic,english"
t0186,"french,geography",discussion,"weekend,morning,evening,afternoon",both,35.79,7,4.1,37,french,male,"german,mandarin,english"
t0187,"english,physics",hands_on,"weekend,morning,afternoon,evening",online,45.06,7,3.9,36,"literature,mechanics,thermodynamics",female,"english,arabic,french"
t0188,"french,economics",hands_on,"weekend,afternoon",both,41.54,16,4.7,84,french,male,arabic
t0189,"literature,biology",interactive,"weekend,morning",both,33.53,9,4.2,54,literature,non_binary,"mandarin,english,arabic"
t0190,"computer_science,biology",interactive,"weekend,evening,afternoon,morning",in_person,54.81,16,4.5,87,computer_science,non_binary,"french,german"
t0191,"economics,music,philosophy",discussion,"weekend,evening,afternoon",in_person,32.15,7,4.2,43,economics,female,french
t0192,"chemistry,mathematics",discussion,"weekend,afternoon",both,28.12,1,3.6,15,calculus,female,"arabic,spanish"
t0193,"biology,physics",structured,"evening,afternoon,weekend",online,41.3,5,3.5,36,thermodynamics,male,"arabic,french,german"
t0194,"french,biology",structured,"morning,evening,weekend,afternoon",in_person,32.03,10,4.3,63,french,female,"english,german"
t0195,"mathematics,geography,history",discussion,"evening,weekend,morning,afternoon",in_person,53.09,15,4.5,82,"geometry,calculus",female,"english,mandarin"
t0196,spanish,visual,"evening,weekend,morning",online,37.95,11,4.5,62,spanish,male,english
t0197,economics,visual,"afternoon,morning,weekend,evening",online,35.41,6,4.1,42,economics,female,"arabic,german"
t0198,chemistry,structured,"morning,afternoon,weekend",in_person,42.99,18,4.5,86,chemistry,female,"spanish,mandarin,arabic"
t0199,"literature,spanish",visual,"evening,afternoon,morning",online,30.51,6,4.0,27,literature,male,"english,arabic"
t0200,geography,interactive,"weekend,morning",in_person,35.34,4,3.5,32,geography,female,german
