id,subjects,learning_style,availability,location_preference,budget_min,budget_max,experience_level,age,preferred_teacher_gender
s0047,"music,english,philosophy,computer_science",kinesthetic,afternoon,in_person,31,46,beginner,38,male
s0048,"french,computer_science,music",reading,"morning,weekend,evening",in_person,20,43,advanced,26,male
s0049,"french,art,spanish",visual,"morning,weekend,afternoon",online,25,36,intermediate,43,male
s0050,"economics,biology,philosophy,spanish",reading,"evening,morning",online,15,28,beginner,23,any
s0051,"mathematics,economics",auditory,"evening,weekend",in_person,28,52,intermediate,28,male
s0052,music,visual,"evening,weekend,morning",in_person,29,58,beginner,44,male
s0053,"french,computer_science,chemistry,geography",kinesthetic,weekend,both,26,42,advanced,24,any
s0054,"mathematics,computer_science",visual,"weekend,morning,evening",in_person,27,43,advanced,25,any
s0055,physics,reading,"evening,weekend",online,19,34,advanced,33,male
s0056,geography,auditory,"morning,weekend,afternoon",online,25,48,advanced,30,any
s0057,"physics,computer_science,french",auditory,"weekend,afternoon,morning",online,24,38,intermediate,22,female
s0058,chemistry,reading,"morning,afternoon",online,20,45,advanced,20,female
s0059,"history,philosophy,english",auditory,"afternoon,morning",in_person,22,51,advanced,40,female
s0060,"english,economics,literature,spanish",kinesthetic,afternoon,both,27,52,intermediate,36,
s0061,"philosophy,chemistry",reading,"evening,morning",online,22,43,beginner,25,male
s0062,"biology,chemistry,physics",visual,morning,online,21,43,advanced,37,
s0063,biology,kinesthetic,"weekend,morning",both,35,63,beginner,41,
s0064,"computer_science,literature,english",kinesthetic,"morning,evening,afternoon",both,28,57,intermediate,30,any
s0065,"philosophy,biology,music,art",auditory,"afternoon,weekend",both,29,58,advanced,26,female
s0066,art,kinesthetic,"evening,morning,weekend",in_person,25,45,beginner,23,male
s0067,music,visual,morning,online,24,43,advanced,36,any
s0068,"literature,art,economics",visual,"weekend,morning",in_person,24,43,advanced,37,any
s0069,"spanish,economics,computer_science,art",kinesthetic,"morning,weekend",online,20,36,beginner,17,any
s0070,"spanish,computer_science",auditory,weekend,both,27,45,advanced,29,male
s0071,"computer_science,physics,philosophy,literature",auditory,evening,in_person,28,47,intermediate,44,female
s0072,"geography,economics",visual,afternoon,both,33,53,intermediate,35,male
s0073,english,kinesthetic,"morning,weekend",in_person,27,44,advanced,21,any
s0074,history,kinesthetic,"weekend,afternoon,morning",both,27,46,beginner,18,any
s0075,"economics,english,mathematics",visual,"evening,afternoon",in_person,28,49,beginner,36,female
s0076,spanish,auditory,"evening,afternoon,weekend",online,19,40,beginner,45,female
s0077,"biology,english,economics,physics",auditory,"afternoon,evening",both,26,46,advanced,28,male
s0078,"computer_science,geography,philosophy,art",reading,evening,online,23,38,beginner,18,
s0079,"art,computer_science,mathematics,chemistry",reading,"afternoon,weekend",in_person,23,39,intermediate,16,any
s0080,"biology,french",auditory,morning,in_person,29,59,beginner,32,
s0081,"spanish,music",kinesthetic,weekend,in_person,27,44,advanced,32,male
s0082,physics,visual,"evening,afternoon",both,27,52,beginner,28,any
s0083,physics,auditory,"morning,weekend",in_person,29,58,beginner,23,
s0084,computer_science,kinesthetic,"weekend,morning,afternoon",both,30,52,intermediate,30,
s0085,"french,chemistry,physics,biology",auditory,"afternoon,morning",both,33,56,beginner,35,female
s0086,chemistry,kinesthetic,"afternoon,morning,evening",in_person,23,47,intermediate,33,any
s0087,"literature,chemistry",auditory,morning,both,27,51,beginner,18,male
s0088,music,auditory,"afternoon,evening",in_person,32,47,advanced,16,any
s0089,"art,computer_science,economics,biology",kinesthetic,weekend,both,23,44,intermediate,17,male
s0090,computer_science,auditory,"evening,weekend",both,24,46,advanced,30,
s0091,"literature,music,french",auditory,"afternoon,evening,weekend",online,19,30,beginner,35,
s0092,"french,mathematics",reading,"evening,morning,afternoon",in_person,32,62,beginner,22,female
s0093,"chemistry,geography",reading,"morning,evening,afternoon",both,32,56,intermediate,45,
s0094,"chemistry,mathematics",reading,"weekend,afternoon",both,20,47,beginner,16,any
s0095,"physics,geography",reading,"afternoon,evening,weekend",both,27,45,advanced,17,female
s0096,economics,visual,evening,both,28,55,beginner,41,male
s0097,"physics,chemistry,music,french",kinesthetic,"morning,evening,afternoon",in_person,20,48,beginner,32,male
s0098,"history,music,biology,physics",auditory,"afternoon,morning,evening",both,22,41,beginner,43,
s0099,"physics,computer_science",reading,weekend,in_person,28,54,intermediate,31,male
s0100,history,visual,"evening,afternoon",online,17,36,advanced,23,
s0101,"chemistry,computer_science,biology,music",auditory,"morning,afternoon",in_person,29,54,beginner,18,
s0102,"geography,chemistry,history,art",reading,afternoon,online,25,38,advanced,23,female
s0103,"philosophy,art,computer_science",auditory,"evening,weekend",online,19,33,beginner,24,
s0104,computer_science,visual,"afternoon,morning",in_person,24,43,beginner,32,male
s0105,"literature,chemistry",auditory,"morning,weekend",both,29,47,beginner,19,male
s0106,"history,economics,philosophy,english",reading,"afternoon,morning",in_person,34,57,advanced,29,female
s0107,"music,english",visual,"weekend,afternoon,morning",both,20,50,intermediate,31,female
s0108,"philosophy,economics,computer_science,literature",visual,evening,both,22,51,intermediate,32,female
s0109,english,reading,"evening,morning",online,20,40,beginner,17,male
s0110,"mathematics,geography,french",auditory,morning,online,20,36,advanced,18,male
s0111,"physics,english,literature",visual,weekend,online,18,28,intermediate,39,any
s0112,"geography,physics,literature",reading,afternoon,both,26,44,intermediate,40,male
s0113,"physics,english,french,history",kinesthetic,"morning,afternoon,weekend",in_person,23,49,intermediate,36,male
s0114,geography,visual,"weekend,afternoon,evening",online,18,41,advanced,27,any
s0115,"philosophy,biology",kinesthetic,morning,online,22,37,beginner,23,female
s0116,"mathematics,english,geography",kinesthetic,evening,in_person,26,48,beginner,25,
s0117,"english,economics",reading,"morning,weekend,afternoon",both,21,49,advanced,36,male
s0118,"literature,computer_science,art",reading,"evening,weekend",online,24,46,intermediate,41,male
s0119,"economics,geography",reading,"weekend,afternoon",both,31,59,advanced,17,female
s0120,"physics,music",auditory,afternoon,online,15,33,beginner,40,female
s0121,"philosophy,computer_science,music,history",kinesthetic,"evening,afternoon,morning",in_person,25,51,beginner,16,any
s0122,geography,visual,"weekend,afternoon,evening",online,21,40,beginner,25,
s0123,mathematics,auditory,"evening,morning",online,19,32,intermediate,17,any
s0124,"mathematics,philosophy,economics,geography",kinesthetic,"weekend,evening",in_person,28,44,advanced,43,
s0125,english,kinesthetic,morning,both,27,56,intermediate,36,female
s0126,"mathematics,chemistry,economics",auditory,"afternoon,evening,weekend",online,21,32,beginner,32,any
s0127,"computer_science,english",reading,evening,in_person,27,56,advanced,19,
s0128,"literature,philosophy,physics",auditory,evening,both,20,42,intermediate,21,any
s0129,computer_science,kinesthetic,"evening,morning",online,22,45,beginner,42,male
s0130,"computer_science,biology",visual,"morning,afternoon,evening",online,23,33,advanced,36,
s0131,"philosophy,art,physics,computer_science",auditory,"morning,afternoon",in_person,33,61,intermediate,43,any
s0132,"spanish,art",auditory,"weekend,morning",both,31,54,beginner,26,
s0133,english,visual,"morning,weekend,afternoon",in_person,24,48,intermediate,31,any
s0134,"literature,spanish",auditory,afternoon,online,15,31,advanced,38,any
s0135,philosophy,reading,weekend,in_person,25,49,intermediate,43,
s0136,"economics,philosophy",reading,weekend,in_person,26,54,beginner,36,female
s0137,"biology,physics,french,music",kinesthetic,"afternoon,morning,weekend",both,20,35,beginner,26,male
s0138,"economics,english,computer_science",auditory,evening,both,29,47,advanced,22,male
s0139,"physics,economics,philosophy",reading,"evening,afternoon,weekend",in_person,25,46,intermediate,26,
s0140,spanish,reading,"afternoon,weekend",in_person,21,37,beginner,26,male
s0141,spanish,kinesthetic,"weekend,afternoon,evening",both,30,48,beginner,45,
s0142,"biology,computer_science",reading,"evening,afternoon",online,17,33,advanced,20,any
s0143,"english,biology",auditory,"morning,afternoon,evening",in_person,29,51,advanced,45,any
s0144,"french,spanish,biology,geography",visual,"weekend,afternoon",both,35,51,beginner,36,female
s0145,french,auditory,"morning,afternoon",in_person,24,48,advanced,21,female
s0146,"literature,art",visual,morning,online,18,37,beginner,28,male
s0147,"art,computer_science",kinesthetic,"morning,afternoon,evening",both,32,62,advanced,17,any
s0148,"history,mathematics,chemistry",reading,"evening,weekend",both,24,40,advanced,17,any
s0149,"history,spanish,chemistry,music",kinesthetic,afternoon,both,34,49,advanced,38,male
s0150,"economics,music",kinesthetic,"evening,morning",online,16,34,beginner,32,female
s0151,physics,reading,"weekend,afternoon",both,31,58,advanced,22,male
s0152,english,visual,"weekend,afternoon,evening",in_person,27,55,advanced,41,male
s0153,"physics,mathematics,philosophy,geography",auditory,evening,online,22,34,intermediate,32,male
s0154,computer_science,visual,weekend,in_person,26,43,intermediate,39,
s0155,"music,chemistry",auditory,"afternoon,weekend,morning",both,33,59,advanced,28,male
s0156,"english,literature,mathematics",visual,morning,online,21,41,beginner,34,male
s0157,"geography,music,physics,french",reading,afternoon,online,16,33,intermediate,26,
s0158,"literature,history",auditory,"morning,afternoon",online,16,29,intermediate,17,male
s0159,"chemistry,philosophy",reading,evening,both,21,38,beginner,21,any
s0160,"music,history,mathematics",reading,"evening,morning",in_person,33,57,advanced,32,any
s0161,"literature,philosophy,music,mathematics",kinesthetic,"morning,evening",in_person,27,42,advanced,33,female
s0162,"biology,geography",auditory,weekend,online,19,35,intermediate,32,any
s0163,"spanish,geography",visual,"weekend,morning,evening",in_person,25,41,intermediate,21,female
s0164,"history,art",reading,"morning,weekend,evening",online,18,38,advanced,32,
s0165,"geography,art,spanish,music",reading,"evening,morning",online,17,38,advanced,41,male
s0166,"computer_science,philosophy,english,biology",kinesthetic,weekend,both,20,36,advanced,32,male
s0167,"economics,mathematics",auditory,evening,both,31,46,beginner,17,male
s0168,spanish,auditory,"evening,morning",in_person,28,54,advanced,34,male
s0169,"spanish,geography,french,music",reading,"morning,afternoon,evening",in_person,24,43,intermediate,30,
s0170,"chemistry,mathematics,economics",reading,"afternoon,morning,evening",online,15,39,intermediate,45,
s0171,"art,biology",auditory,evening,online,17,39,advanced,26,any
s0172,"chemistry,computer_science",kinesthetic,evening,online,25,45,beginner,33,any
s0173,"philosophy,biology,art,english",reading,afternoon,in_person,32,58,beginner,25,
s0174,"music,philosophy",auditory,"afternoon,morning",online,24,34,beginner,42,
s0175,"economics,art,history,biology",kinesthetic,"afternoon,morning,weekend",both,20,38,intermediate,44,
s0176,mathematics,visual,"afternoon,morning",in_person,24,43,advanced,37,female
s0177,"biology,computer_science,mathematics,history",reading,evening,online,24,48,beginner,40,female
s0178,philosophy,visual,evening,in_person,29,48,advanced,22,
s0179,chemistry,auditory,"weekend,afternoon,evening",online,17,29,intermediate,20,any
s0180,"literature,economics",kinesthetic,"weekend,morning",online,20,44,intermediate,38,any
s0181,"biology,physics,history",kinesthetic,"weekend,evening,morning",in_person,22,50,beginner,31,female
s0182,"physics,mathematics",auditory,"evening,afternoon",both,27,54,advanced,36,female
s0183,"geography,mathematics",visual,"afternoon,weekend,evening",in_person,28,49,intermediate,20,male
s0184,"art,mathematics,philosophy",visual,"evening,weekend,afternoon",in_person,22,52,intermediate,40,any
s0185,"philosophy,mathematics",auditory,"evening,morning,afternoon",online,24,47,beginner,41,
s0186,music,auditory,"afternoon,weekend,evening",in_person,27,43,advanced,40,female
s0187,economics,auditory,"afternoon,evening",in_person,29,49,advanced,26,male
s0188,"french,spanish,physics",auditory,"weekend,afternoon,morning",both,21,47,advanced,24,any
s0189,"french,history,mathematics,art",reading,"evening,afternoon,weekend",in_person,33,58,advanced,40,male
s0190,"philosophy,art",auditory,evening,online,23,46,advanced,45,male
s0191,"biology,chemistry",kinesthetic,"afternoon,weekend",both,30,60,beginner,18,
s0192,"computer_science,french",reading,morning,both,29,45,beginner,29,
s0193,"art,economics",visual,"weekend,morning,afternoon",both,22,37,intermediate,16,any
s0194,"spanish,history",kinesthetic,"weekend,morning",in_person,23,52,intermediate,21,any
s0195,"economics,music,chemistry",reading,weekend,online,15,40,beginner,18,male
s0196,"computer_science,geography,spanish",visual,"weekend,evening",in_person,34,64,beginner,35,
s0197,"spanish,art",kinesthetic,"weekend,morning,afternoon",in_person,31,58,advanced,21,
s0198,mathematics,kinesthetic,"weekend,afternoon,evening",in_person,23,44,beginner,40,female
s0199,english,reading,"morning,evening",in_person,26,49,beginner,23,any
s0200,"physics,literature,music",visual,"weekend,evening,morning",online,15,35,intermediate,21,any
s0201,"english,economics,chemistry",kinesthetic,"evening,afternoon,morning",online,20,41,intermediate,45,female
s0202,"biology,physics,geography",reading,"weekend,afternoon",both,26,42,beginner,22,male
s0203,"english,computer_science,biology,economics",reading,"weekend,morning,afternoon",online,23,47,advanced,21,female
s0204,"computer_science,economics,philosophy,french",kinesthetic,morning,in_person,21,39,beginner,21,female
s0205,"economics,music",kinesthetic,"weekend,evening",in_person,28,46,advanced,33,
s0206,spanish,auditory,"afternoon,morning,weekend",online,18,42,advanced,29,any
s0207,"biology,mathematics,spanish,literature",visual,"weekend,morning",in_person,23,47,beginner,45,any
s0208,"literature,geography,french",auditory,morning,both,27,44,advanced,20,any
s0209,philosophy,visual,"morning,evening",in_person,21,39,advanced,25,male
s0210,philosophy,auditory,"evening,afternoon,morning",both,29,46,intermediate,32,
s0211,philosophy,kinesthetic,"afternoon,morning,weekend",both,32,61,advanced,18,any
s0212,"chemistry,literature,mathematics",auditory,afternoon,both,34,64,advanced,25,any
s0213,mathematics,reading,"evening,weekend",online,21,33,intermediate,34,
s0214,philosophy,reading,afternoon,online,20,32,intermediate,32,male
s0215,"biology,chemistry,spanish,art",kinesthetic,"afternoon,evening",online,18,32,intermediate,23,female
s0216,philosophy,kinesthetic,"evening,morning",both,35,64,intermediate,27,any
s0217,"english,physics",reading,afternoon,online,20,42,intermediate,39,
s0218,"physics,spanish",kinesthetic,"afternoon,weekend,morning",in_person,30,54,advanced,45,male
s0219,"biology,geography,physics,music",auditory,"morning,afternoon,weekend",both,25,51,intermediate,34,male
s0220,"chemistry,spanish,geography,english",kinesthetic,"weekend,morning,afternoon",in_person,21,46,advanced,21,
s0221,"art,spanish,economics",auditory,"afternoon,morning,weekend",in_person,35,62,advanced,22,
s0222,"spanish,literature,mathematics,french",visual,"morning,weekend",in_person,31,50,intermediate,19,any
s0223,"english,spanish",reading,"weekend,evening",in_person,22,40,intermediate,29,
s0224,"philosophy,spanish,computer_science,physics",visual,afternoon,online,21,37,beginner,34,any
s0225,"music,biology,literature,chemistry",reading,"weekend,afternoon",both,26,43,beginner,26,female
s0226,"mathematics,economics",reading,weekend,in_person,33,57,beginner,29,
s0227,"french,economics,spanish,music",auditory,evening,in_person,32,53,beginner,30,female
s0228,"art,music",kinesthetic,"evening,morning",both,33,49,advanced,39,
s0229,"chemistry,physics",kinesthetic,"afternoon,morning,evening",in_person,30,51,intermediate,24,female
s0230,"physics,spanish,chemistry,art",kinesthetic,"morning,evening,afternoon",online,16,41,beginner,27,any
s0231,philosophy,visual,evening,online,23,33,intermediate,21,any
s0232,english,reading,"afternoon,morning,weekend",both,22,42,advanced,33,
s0233,"geography,history,computer_science",reading,"morning,afternoon",in_person,26,45,advanced,30,
s0234,"physics,music,economics,history",reading,"morning,evening,afternoon",online,19,31,intermediate,29,any
s0235,"chemistry,literature,french,philosophy",visual,"morning,weekend",in_person,33,56,beginner,40,
s0236,philosophy,auditory,"weekend,morning",both,24,53,beginner,31,male
s0237,"biology,computer_science,chemistry",kinesthetic,"afternoon,weekend",in_person,25,53,beginner,33,
s0238,"english,spanish,chemistry",kinesthetic,"afternoon,morning,weekend",in_person,27,46,advanced,28,male
s0239,"history,music,biology,mathematics",visual,evening,both,23,39,advanced,18,
s0240,"literature,physics,music",kinesthetic,"evening,weekend,afternoon",online,16,34,beginner,41,male
s0241,"history,english,literature,chemistry",kinesthetic,evening,both,22,45,beginner,17,female
s0242,"philosophy,french,art",visual,"weekend,evening,afternoon",both,33,53,beginner,31,any
s0243,"physics,economics,computer_science",visual,"morning,weekend",in_person,29,54,beginner,24,female
s0244,"economics,physics,biology",kinesthetic,morning,in_person,20,40,advanced,19,male
s0245,"french,spanish,literature,music",auditory,"evening,afternoon",both,29,45,advanced,23,male
s0246,"literature,physics",reading,evening,both,30,53,advanced,17,any
s0247,"english,biology",kinesthetic,"afternoon,weekend",online,21,44,intermediate,41,female
s0248,computer_science,reading,"weekend,afternoon",online,25,38,beginner,40,
s0249,"geography,art",kinesthetic,"evening,afternoon,morning",both,28,51,advanced,22,male
s0250,"physics,biology,spanish",kinesthetic,"morning,weekend",in_person,29,52,beginner,30,male
s0251,"biology,history,physics",auditory,weekend,in_person,22,39,advanced,24,any
s0252,"philosophy,spanish,french,music",visual,"afternoon,morning",online,23,48,intermediate,30,male
s0253,history,auditory,"morning,weekend",in_person,21,50,beginner,38,female
s0254,chemistry,visual,"afternoon,weekend,morning",in_person,30,59,intermediate,34,female
s0255,french,visual,"evening,morning,afternoon",online,20,43,advanced,20,any
s0256,"french,music,philosophy",kinesthetic,"morning,afternoon,weekend",both,35,51,advanced,28,
s0257,"computer_science,literature,spanish",auditory,"evening,morning",online,16,31,intermediate,25,
s0258,chemistry,reading,morning,both,34,49,intermediate,16,
s0259,computer_science,auditory,"afternoon,weekend",in_person,33,54,beginner,27,female
s0260,music,visual,evening,online,19,44,beginner,18,
s0261,"mathematics,geography",reading,weekend,in_person,29,45,intermediate,44,
s0262,literature,visual,weekend,in_person,34,61,intermediate,43,male
s0263,"english,spanish,mathematics,biology",kinesthetic,"morning,evening,weekend",both,26,54,intermediate,29,any
s0264,"literature,music,french,chemistry",reading,"morning,weekend,evening",online,20,45,intermediate,22,
s0265,"economics,physics,english,chemistry",reading,"weekend,evening",both,25,55,advanced,33,male
s0266,biology,auditory,"evening,morning,afternoon",both,31,53,intermediate,30,female
s0267,chemistry,visual,weekend,both,28,52,intermediate,17,any
s0268,"art,geography,literature,history",visual,"weekend,evening",online,17,38,intermediate,36,any
s0269,"chemistry,economics,literature",auditory,morning,both,29,53,beginner,45,male
s0270,"history,economics,art,chemistry",visual,"afternoon,evening",in_person,26,44,beginner,43,any
s0271,"music,art,mathematics,physics",kinesthetic,morning,in_person,23,40,beginner,42,male
s0272,"physics,spanish,english",kinesthetic,evening,in_person,28,48,advanced,17,
s0273,"music,french,philosophy",kinesthetic,weekend,online,15,39,beginner,23,female
s0274,"french,history,geography",reading,morning,in_person,20,41,beginner,28,female
s0275,"chemistry,french",reading,"afternoon,morning,weekend",in_person,30,55,advanced,41,male
s0276,"music,literature,spanish,geography",auditory,"evening,weekend,morning",both,35,56,advanced,28,male
s0277,mathematics,auditory,afternoon,online,22,42,advanced,39,male
s0278,biology,auditory,weekend,in_person,27,43,advanced,26,male
s0279,philosophy,reading,"morning,evening",both,29,44,intermediate,30,female
s0280,mathematics,visual,"weekend,afternoon,morning",online,15,28,advanced,30,
s0281,"literature,french,computer_science",auditory,"morning,afternoon",both,24,50,beginner,18,any
s0282,philosophy,auditory,"weekend,afternoon",both,22,42,beginner,40,female
s0283,"economics,art,chemistry,english",auditory,"morning,evening",both,28,43,beginner,29,
s0284,"art,english,physics,chemistry",reading,morning,online,21,45,intermediate,16,
s0285,history,reading,"afternoon,weekend",both,23,39,advanced,39,any
s0286,physics,kinesthetic,morning,in_person,24,45,intermediate,37,
s0287,"computer_science,history",visual,"afternoon,weekend",online,25,42,advanced,43,male
s0288,philosophy,kinesthetic,"weekend,morning,afternoon",in_person,29,51,beginner,37,male
s0289,"english,french,geography,music",kinesthetic,"afternoon,weekend",online,23,34,beginner,33,
s0290,"economics,english",auditory,weekend,in_person,25,40,beginner,34,any
s0291,"art,spanish,economics,french",auditory,"afternoon,evening",online,22,43,beginner,42,
s0292,physics,reading,"morning,weekend,evening",both,34,52,intermediate,27,
s0293,"english,history,geography",auditory,evening,online,22,42,beginner,43,any
s0294,"geography,economics,physics,mathematics",visual,evening,in_person,25,42,advanced,35,male
s0295,"mathematics,french,physics",visual,"morning,afternoon",in_person,25,42,beginner,43,
s0296,"philosophy,spanish,geography",kinesthetic,"evening,weekend,afternoon",both,22,39,beginner,23,
s0297,"physics,english",kinesthetic,afternoon,online,25,44,intermediate,20,male
s0298,"biology,computer_science",kinesthetic,morning,online,22,35,advanced,35,
s0299,"chemistry,economics,music,physics",kinesthetic,evening,online,23,44,advanced,43,male
s0300,"art,biology,geography",visual,"morning,afternoon",online,15,27,intermediate,21,male
s0301,"art,history,computer_science",visual,"evening,weekend",in_person,23,47,beginner,34,
s0302,"biology,french,geography",kinesthetic,morning,in_person,34,50,advanced,38,male
s0303,"french,english,history",kinesthetic,morning,online,24,34,beginner,38,female
s0304,art,kinesthetic,"evening,weekend,morning",online,18,28,advanced,38,
s0305,"music,art",reading,weekend,both,25,46,intermediate,35,male
s0306,philosophy,visual,afternoon,in_person,24,51,advanced,37,
s0307,"biology,geography,computer_science,english",auditory,"weekend,evening",online,17,27,advanced,36,
s0308,"history,computer_science",visual,weekend,online,24,38,intermediate,34,female
s0309,"computer_science,spanish",kinesthetic,"morning,afternoon,weekend",both,26,50,beginner,19,
s0310,"biology,computer_science,music",kinesthetic,afternoon,in_person,27,52,beginner,29,female
s0311,"economics,chemistry,history",reading,"weekend,afternoon,morning",online,19,43,advanced,27,
s0312,biology,kinesthetic,"morning,afternoon,evening",online,23,34,intermediate,29,female
s0313,"music,spanish",visual,"evening,morning,weekend",online,23,41,advanced,27,
s0314,"french,spanish",reading,"morning,evening,weekend",in_person,35,58,intermediate,44,any
s0315,"spanish,computer_science,geography",visual,"afternoon,weekend",both,27,50,beginner,17,male
s0316,history,kinesthetic,"evening,morning,afternoon",online,18,31,beginner,31,any
s0317,"mathematics,physics",auditory,"weekend,morning,afternoon",online,16,34,advanced,26,male
s0318,mathematics,reading,"afternoon,evening,weekend",both,32,47,advanced,35,female
s0319,english,visual,evening,both,20,45,intermediate,24,male
s0320,art,visual,"evening,afternoon",both,30,59,advanced,18,male
s0321,"chemistry,music",visual,"morning,weekend,afternoon",both,22,41,intermediate,37,female
s0322,french,kinesthetic,morning,online,25,47,advanced,32,any
s0323,"music,spanish,english",auditory,"evening,morning",in_person,28,43,advanced,37,female
s0324,physics,reading,"afternoon,morning",online,22,44,advanced,24,female
s0325,"french,philosophy",visual,"weekend,morning,evening",both,34,49,beginner,44,
s0326,"spanish,physics",visual,"afternoon,morning",in_person,31,47,beginner,34,
s0327,"art,philosophy",reading,evening,in_person,28,58,beginner,32,any
s0328,"spanish,french,physics,mathematics",reading,"weekend,afternoon,morning",online,22,36,beginner,39,
s0329,"computer_science,philosophy",visual,morning,both,32,62,intermediate,23,male
s0330,french,reading,"weekend,evening,morning",both,30,48,intermediate,36,any
s0331,"mathematics,computer_science",auditory,weekend,both,23,43,beginner,25,male
s0332,computer_science,reading,"weekend,morning",in_person,21,40,beginner,40,female
s0333,french,reading,"weekend,evening,morning",online,17,30,intermediate,23,
s0334,"economics,geography,spanish",kinesthetic,"morning,afternoon",online,24,35,intermediate,45,male
s0335,"art,literature,physics,economics",kinesthetic,evening,both,20,48,beginner,40,male
s0336,"philosophy,physics",reading,weekend,both,29,50,intermediate,30,female
s0337,"literature,economics,art,philosophy",kinesthetic,afternoon,in_person,26,51,beginner,32,female
s0338,"biology,music,literature,physics",reading,"evening,afternoon,morning",both,25,44,advanced,19,
s0339,"physics,french,geography,english",visual,"morning,afternoon,weekend",both,24,43,beginner,26,female
s0340,"spanish,economics",kinesthetic,afternoon,in_person,35,55,advanced,19,female
s0341,chemistry,kinesthetic,"evening,morning,afternoon",both,20,48,advanced,25,any
s0342,"computer_science,economics,chemistry,music",auditory,"evening,afternoon",online,17,31,beginner,19,any
s0343,"mathematics,spanish,economics",kinesthetic,evening,online,16,34,advanced,43,female
s0344,chemistry,kinesthetic,"morning,afternoon,evening",in_person,30,57,advanced,33,
s0345,"mathematics,history,economics,physics",auditory,afternoon,in_person,35,60,beginner,26,any
s0346,"philosophy,french,economics,chemistry",auditory,"afternoon,evening",in_person,25,42,advanced,45,any
